Gene	Lenth	Location1	Location2	GC
MIR1302-10	1555	chr1:29554	chr1:31109	0.49
FAM138A	1527	chr1:34554	chr1:36081	0.50
OR4F5	917	chr1:69091	chr1:70008	0.43
RP11-34P13.7	44271	chr1:89295	chr1:133566	0.40
RP11-34P13.8	1554	chr1:89551	chr1:91105	0.49
AL627309.1	4478	chr1:134901	chr1:139379	0.64
RP11-34P13.14	549	chr1:139790	chr1:140339	0.53
RP11-34P13.9	1079	chr1:160446	chr1:161525	0.43
AP006222.2	39638	chr1:227615	chr1:267253	0.39
RP4-669L17.10	136228	chr1:317720	chr1:453948	0.42
OR4F29	994	chr1:367640	chr1:368634	0.46
RP4-669L17.2	6847	chr1:453633	chr1:460480	0.48
RP5-857K21.15	2298	chr1:459656	chr1:461954	0.49
RP5-857K21.1	2464	chr1:521369	chr1:523833	0.49
RP5-857K21.2	7139	chr1:523009	chr1:530148	0.49
RP5-857K21.3	3045	chr1:529833	chr1:532878	0.45
RP5-857K21.4	123114	chr1:536816	chr1:659930	0.41
RP5-857K21.5	1633	chr1:562757	chr1:564390	0.43
OR4F16	994	chr1:621059	chr1:622053	0.46
RP11-206L10.3	8203	chr1:677193	chr1:685396	0.45
RP11-206L10.5	5893	chr1:694412	chr1:700305	0.44
RP11-206L10.4	1078	chr1:696291	chr1:697369	0.43
RP11-206L10.2	13769	chr1:700237	chr1:714006	0.47
RP11-206L10.9	31290	chr1:714150	chr1:745440	0.40
AL669831.1	605	chr1:738532	chr1:739137	0.40
FAM87B	2463	chr1:752751	chr1:755214	0.49
LINC00115	1316	chr1:761586	chr1:762902	0.53
FAM41C	8832	chr1:803451	chr1:812283	0.48
AL645608.2	1940	chr1:818043	chr1:819983	0.39
RP11-54O7.16	11142	chr1:840214	chr1:851356	0.61
RP11-54O7.1	3513	chr1:846815	chr1:850328	0.59
RP11-54O7.2	800	chr1:849551	chr1:850351	0.59
RP11-54O7.3	4151	chr1:852245	chr1:856396	0.62
SAMD11	19695	chr1:860260	chr1:879955	0.66
AL645608.1	5181	chr1:861264	chr1:866445	0.63
NOC2L	15105	chr1:879584	chr1:894689	0.60
KLHL17	5128	chr1:895967	chr1:901095	0.68
PLEKHN1	9368	chr1:901877	chr1:911245	0.63
C1orf170	6918	chr1:910579	chr1:917497	0.68
RP11-54O7.17	2085	chr1:931346	chr1:933431	0.66
HES4	1210	chr1:934342	chr1:935552	0.74
RP11-54O7.11	1196	chr1:947377	chr1:948573	0.45
ISG15	1117	chr1:948803	chr1:949920	0.65
AGRN	35993	chr1:955503	chr1:991496	0.66
RP11-54O7.18	1080	chr1:997588	chr1:998668	0.65
RNF223	3341	chr1:1006346	chr1:1009687	0.65
C1orf159	34543	chr1:1017198	chr1:1051741	0.55
RP11-465B22.5	7039	chr1:1072397	chr1:1079436	0.65
RP11-465B22.8	986	chr1:1104737	chr1:1105723	0.66
TTLL10-AS1	6499	chr1:1108436	chr1:1114935	0.61
TTLL10	24051	chr1:1109264	chr1:1133315	0.55
TNFRSF18	3183	chr1:1138888	chr1:1142071	0.67
TNFRSF4	2812	chr1:1146706	chr1:1149518	0.70
SDF4	15123	chr1:1152288	chr1:1167411	0.61
B3GALT6	2792	chr1:1167629	chr1:1170421	0.64
FAM132A	4276	chr1:1177826	chr1:1182102	0.69
RP5-902P8.12	1557	chr1:1185157	chr1:1186714	0.56
UBE2J2	19976	chr1:1189289	chr1:1209265	0.56
RP5-902P8.10	5197	chr1:1210603	chr1:1215800	0.50
SCNN1D	11593	chr1:1215816	chr1:1227409	0.66
ACAP3	17233	chr1:1227756	chr1:1244989	0.67
PUSL1	3110	chr1:1243947	chr1:1247057	0.67
CPSF3L	13106	chr1:1246965	chr1:1260071	0.60
GLTPD1	4141	chr1:1260136	chr1:1264277	0.65
TAS1R3	3992	chr1:1266694	chr1:1270686	0.67
DVL1	14074	chr1:1270656	chr1:1284730	0.66
MXRA8	9088	chr1:1288069	chr1:1297157	0.65
AURKAIP1	1765	chr1:1309110	chr1:1310875	0.67
CCNL2	13617	chr1:1321091	chr1:1334708	0.51
RP4-758J18.2	2524	chr1:1334902	chr1:1337426	0.59
MRPL20	5405	chr1:1337288	chr1:1342693	0.53
RP4-758J18.13	1522	chr1:1344476	chr1:1345998	0.49
ANKRD65	3349	chr1:1353800	chr1:1357149	0.67
RP4-758J18.7	2446	chr1:1355625	chr1:1358071	0.67
TMEM88B	1659	chr1:1361508	chr1:1363167	0.71
RP4-758J18.10	4034	chr1:1365919	chr1:1369953	0.67
VWA1	8021	chr1:1370241	chr1:1378262	0.66
ATAD3C	20469	chr1:1385069	chr1:1405538	0.57
ATAD3B	26085	chr1:1407143	chr1:1433228	0.59
ATAD3A	22536	chr1:1447531	chr1:1470067	0.60
TMEM240	5279	chr1:1470554	chr1:1475833	0.66
SSU72	33196	chr1:1477053	chr1:1510249	0.54
AL645728.1	1018	chr1:1510355	chr1:1511373	0.57
C1orf233	2084	chr1:1533392	chr1:1535476	0.70
RP11-345P4.9	2037	chr1:1549138	chr1:1551175	0.57
MIB2	15195	chr1:1550795	chr1:1565990	0.66
MMP23B	3165	chr1:1567474	chr1:1570639	0.70
CDK11B	19870	chr1:1570603	chr1:1590473	0.53
RP11-345P4.10	3277	chr1:1590786	chr1:1594063	0.49
SLC35E2B	31228	chr1:1592939	chr1:1624167	0.54
RP11-345P4.7	1421	chr1:1603429	chr1:1604850	0.53
CDK11A	21597	chr1:1634169	chr1:1655766	0.52
SLC35E2	21154	chr1:1656277	chr1:1677431	0.52
NADK	29225	chr1:1682671	chr1:1711896	0.54
GNB1	105766	chr1:1716729	chr1:1822495	0.47
RP1-140A9.1	1187	chr1:1822910	chr1:1824097	0.65
CALML6	2469	chr1:1846266	chr1:1848735	0.63
TMEM52	1683	chr1:1849029	chr1:1850712	0.67
C1orf222	81880	chr1:1853396	chr1:1935276	0.56
RP11-547D24.1	2317	chr1:1944652	chr1:1946969	0.52
GABRD	11412	chr1:1950780	chr1:1962192	0.62
RP11-547D24.3	867	chr1:1980642	chr1:1981509	0.64
PRKCZ	134925	chr1:1981909	chr1:2116834	0.56
RP5-892K4.1	4195	chr1:2072523	chr1:2076718	0.56
RP11-181G12.2	2595	chr1:2113233	chr1:2115828	0.58
C1orf86	28256	chr1:2115903	chr1:2144159	0.61
AL590822.2	1942	chr1:2121237	chr1:2123179	0.64
AL590822.1	2260	chr1:2143360	chr1:2145620	0.64
RP11-181G12.5	403	chr1:2143610	chr1:2144013	0.67
RP11-181G12.4	8215	chr1:2143962	chr1:2152177	0.58
SKI	81424	chr1:2160134	chr1:2241558	0.57
MORN1	70454	chr1:2252692	chr1:2323146	0.57
AL589739.1	461	chr1:2258581	chr1:2259042	0.43
RER1	13616	chr1:2323267	chr1:2336883	0.54
PEX10	9000	chr1:2336236	chr1:2345236	0.62
PLCH2	79550	chr1:2357419	chr1:2436969	0.65
RP3-395M20.2	958	chr1:2423739	chr1:2424697	0.65
RP3-395M20.3	1042	chr1:2424876	chr1:2425918	0.65
PANK4	18067	chr1:2439972	chr1:2458039	0.61
HES5	1500	chr1:2460184	chr1:2461684	0.68
RP3-395M20.12	995	chr1:2477904	chr1:2478899	0.69
TNFRSF14	9743	chr1:2487078	chr1:2496821	0.64
RP3-395M20.7	3478	chr1:2497849	chr1:2501327	0.64
RP3-395M20.9	2973	chr1:2512999	chr1:2515972	0.51
FAM213B	4978	chr1:2517930	chr1:2522908	0.65
MMEL1	42403	chr1:2522078	chr1:2564481	0.55
RP13-436F16.1	4052	chr1:2564007	chr1:2568059	0.60
TTC34	150871	chr1:2567415	chr1:2718286	0.39
RP11-740P5.2	842	chr1:2728415	chr1:2729257	0.52
RP11-740P5.3	566	chr1:2730997	chr1:2731563	0.60
ACTRT2	1419	chr1:2938046	chr1:2939465	0.62
LINC00982	8822	chr1:2976179	chr1:2985001	0.62
PRDM16	369453	chr1:2985732	chr1:3355185	0.58
RP1-163G9.2	782	chr1:3049491	chr1:3050273	0.58
RP11-22L13.1	3460	chr1:3223200	chr1:3226660	0.54
ARHGEF16	26687	chr1:3370990	chr1:3397677	0.63
RP11-168F9.2	381	chr1:3403810	chr1:3404191	0.40
MEGF6	121575	chr1:3406484	chr1:3528059	0.63
RP11-46F15.2	1553	chr1:3539754	chr1:3541307	0.62
TPRG1L	5125	chr1:3541566	chr1:3546691	0.52
WRAP73	21994	chr1:3547331	chr1:3569325	0.55
TP73	83681	chr1:3569084	chr1:3652765	0.60
RP5-1092A11.5	9834	chr1:3575502	chr1:3585336	0.49
RP5-1092A11.2	2098	chr1:3628764	chr1:3630862	0.60
TP73-AS1	11352	chr1:3652548	chr1:3663900	0.54
CCDC27	19247	chr1:3668962	chr1:3688209	0.54
SMIM1	3194	chr1:3689352	chr1:3692546	0.65
LRRC47	16284	chr1:3696784	chr1:3713068	0.54
RP1-286D6.5	530	chr1:3701572	chr1:3702102	0.54
CEP104	45133	chr1:3728645	chr1:3773778	0.48
DFFB	28148	chr1:3773845	chr1:3801993	0.52
C1orf174	11168	chr1:3805689	chr1:3816857	0.49
